"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1990","1990","NZD","New Zealand Dollar","0","Units",,,1.676203,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1991","1991","NZD","New Zealand Dollar","0","Units",,,1.733514,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1992","1992","NZD","New Zealand Dollar","0","Units",,,1.861792,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1993","1993","NZD","New Zealand Dollar","0","Units",,,1.850513,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1994","1994","NZD","New Zealand Dollar","0","Units",,,1.686522,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1995","1995","NZD","New Zealand Dollar","0","Units",,,1.523877,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1996","1996","NZD","New Zealand Dollar","0","Units",,,1.454848,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1997","1997","NZD","New Zealand Dollar","0","Units",,,1.512421,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1998","1998","NZD","New Zealand Dollar","0","Units",,,1.868249,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","1999","1999","NZD","New Zealand Dollar","0","Units",,,1.889614,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2000","2000","NZD","New Zealand Dollar","0","Units",,,2.201149,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2001","2001","NZD","New Zealand Dollar","0","Units",,,2.378751,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2002","2002","NZD","New Zealand Dollar","0","Units",,,2.162191,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2003","2003","NZD","New Zealand Dollar","0","Units",,,1.722099,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2004","2004","NZD","New Zealand Dollar","0","Units",,,1.508681,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2005","2005","NZD","New Zealand Dollar","0","Units",,,1.420273,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2006","2006","NZD","New Zealand Dollar","0","Units",,,1.542056,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2007","2007","NZD","New Zealand Dollar","0","Units",,,1.360675,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2008","2008","NZD","New Zealand Dollar","0","Units",,,1.422727,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2009","2009","NZD","New Zealand Dollar","0","Units",,,1.600877,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2010","2010","NZD","New Zealand Dollar","0","Units",,,1.387834,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2011","2011","NZD","New Zealand Dollar","0","Units",,,1.265811,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2012","2012","NZD","New Zealand Dollar","0","Units",,,1.234284,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2013","2013","NZD","New Zealand Dollar","0","Units",,,1.219408,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2014","2014","NZD","New Zealand Dollar","0","Units",,,1.205433,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2015","2015","NZD","New Zealand Dollar","0","Units",,,1.433975,,
"NZL","New Zealand","EXC","Exchange rates, period-average","CD","National currency per US dollar","2016","2016","NZD","New Zealand Dollar","0","Units",,,1.436525,,
